FW21149,1,12/7/2023,Thomas Adams,rachel37@yahoo.com,"Ankle Weights, Pair",1,27.99,2.3026
FW53560,1,8/25/2023,Jennifer Jenkins,guzmanerin@lucero-knox.org,Pilates Ring,2,35.98,2.2315
FW12807,1,2/14/2023,Michael Park,kimberlyramsey@harvey.net,Smart Weighing Scale,1,59.99,4.8391
FW31761,1,12/15/2023,Theresa Holmes,devinramirez@maldonado.net,Smart Weighing Scale,3,179.97,14.868
FW32682,1,8/26/2023,Zachary Anderson,perezcole@kennedy.net,"Ankle Weights, Pair",3,83.97,7.2448
FW42243,1,2/5/2023,Jason Vincent,jeremy99@yahoo.com,Adjustable Bench,3,329.97,21.8044
FW47877,1,6/29/2023,Dennis Graves,browncynthia@hotmail.com,Pull-Up Bar,2,69.98,4.4834
FW57662,1,2/9/2023,Derek Henry,arroyobetty@stewart.com,Adjustable Dumbbells,1,129.99,8.8744
FW63885,1,7/11/2023,Heather Jimenez,donnunez@webb-wilson.com,Treadmill Lubricant,2,24.98,1.6869
FW51089,1,12/6/2023,Brittany Ballard,abrown@yahoo.com,Adjustable Bench,3,329.97,21.9695
FW18382,1,5/13/2023,Susan Barnes,mario46@yahoo.com,Fitness Tracker Band,1,89.99,6.4989
FW53197,1,4/8/2023,Andrew Perez,petercortez@yahoo.com,Fitness Tracker Band,1,89.99,5.7135
FW79398,1,7/22/2023,Linda Hendrix,sarah23@salazar.info,"Ankle Weights, Pair",2,55.98,4.8544
FW95326,1,2/23/2023,Jeffrey Wallace,ryanmaxwell@hotmail.com,"Kettlebell, 20lb",1,49.99,4.0783
FW95733,1,4/29/2023,Deborah Burnett,youngnatasha@simmons.com,Treadmill Lubricant,2,24.98,1.592
FW99968,1,5/21/2023,Andre Jones,aaronhiggins@jones-schmidt.com,Pull-Up Bar,2,69.98,6.0041
FW88194,1,9/17/2023,Tony Taylor,kwang@gmail.com,"Ankle Weights, Pair",3,83.97,5.7369
FW65241,1,2/13/2023,Rachel Floyd,leerobin@allen-flores.com,Smart Weighing Scale,2,119.98,10.4577
FW42481,1,11/6/2023,David Stein,bethroy@jackson.com,Smart Weighing Scale,1,59.99,4.6922
FW94323,1,8/17/2023,Darrell Hurley MD,wesley24@yahoo.com,Smart Weighing Scale,2,119.98,8.8293
FW92105,1,4/2/2023,Daniel Miller,heatherwright@byrd-shaffer.com,Adjustable Dumbbells,3,389.97,31.6324
FW14547,1,5/8/2023,Jennifer Stephens,chambersjenna@hotmail.com,Smart Weighing Scale,2,119.98,9.6596
FW19188,1,1/23/2023,Grace Ritter,johndunn@yahoo.com,Massage Gun,1,139.99,10.9544
FW75090,1,10/27/2023,Rodney Haley,karinareid@reeves.com,Massage Gun,3,419.97,28.8836
FW80317,1,11/1/2023,Robert Hickman,stephenyates@hotmail.com,"Yoga Mat, Eco",2,49.98,3.2737
FW39734,1,9/17/2023,Stacey Carr,tyler68@walker.info,Massage Gun,3,419.97,36.9093
